url,Question,Answer
https://www.agnoshealth.com/forums/%E0%B8%A5%E0%B8%B3%E0%B9%84%E0%B8%AA%E0%B9%89%E0%B8%AD%E0%B8%B1%E0%B8%81%E0%B9%80%E0%B8%AA%E0%B8%9A/93,ไปพบแพทย์ ฉีดยาแล้ว ก็พอทุเลาลงไปบ้าง แต่พออีกวันก็กลับมาปวดบิด ปวดตัวงออีก ทั้งๆที่ทานยาครบแล้ว ตัวยาที่ทานอยู่จะมี 1.มิราซิด ก่อนอาหาร 2.ดอมพ์เอ็ม ก่อนอาหาร 3.แก้ปวดท้องบิดเกร็ง หลังอาหาร // อยากทราบตัวยาที่สามารถทานได้ทันทีที่มีอาการปวดกำเริบ เพราะเวลากำเริบที ทำงานไม่ได้เลยค่ะ ทรมานมาก,ยาที่กล่าวมาค่อนข้างตรงกับอาการที่เป็นอยู่แล้วครับ ถ้าทานตามที่แนะนำแล้วยังมีอาการอยู่ แนะนำว่าไปตรวจเพิ่มที่รพ.จะดีกว่านะครับ 1. อาจต้องฉัีดยาเพิ่ม 2. อาจต้องทานยาเพิ่มเติม 3. อาจต้องตรวจเพิ่มเติม เนื่องจากทานยาแล้วอาการไม่ดีขึ้นครับ
https://www.agnoshealth.com/forums/%E0%B8%A0%E0%B8%B2%E0%B8%A7%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%9B%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%95%E0%B8%B1%E0%B8%A7%E0%B8%9C%E0%B8%B4%E0%B8%94%E0%B8%9B%E0%B8%81%E0%B8%95%E0%B8%B4/246,"สวัสดีค่ะ อยากทราบว่าอาการคิดมาก อยากร้องไห้ตลอดเวลา อยากอยู่เงียบๆคนเดียว ไม่สุงสิงกับใคร ง่วงนอนตลอดเวลา 
ปวดเมื่อยตามร่างกาย  เป็นอาการของโรคซึมเศร้าไหมคะ",สวัสดีครับ การที่อยากคิดมาก ร้องไห้ตลอด อยากอยู่เงียบๆ ไม่อยากสุงสิงกับใคร ง่วนอนตลอดเวลา เป็นอาการที่เกิดขึ้นได้จากหลายสาเหตุครับ เช่น การมีความเครียดที่มากจนไม่สามารถจัดการได้ โรคซึมเศร้า โรคไบโพลาร์ ซึ่งการจะแยกสาเหตุเหล่านี้ก็จะต้องประเมินจากปัจจัยอื่นๆประกอบครับ เช่น ความรุนแรงของอาการ ผลกระทบที่เกิดขึ้น ลักษณะของอารมณ์ที่เปลี่ยนแปลง ความคิดอยากตาย ในกรณีที่อารมณ์ที่เปลี่ยนแปลงนี้เป็นมากจนไม่สามารถควบคุมได้หรือมีผลกระทบจ่อการใช้ชีวิต การเรียน หรือการทำงาน หมอก็แนะนำว่าควรไปพบจิตแพทย์เพื่อตรวจประเมินอาการเพิ่มเติมให้ทราบสาเหตุที่แน่ชัดก่อนเพื่อที่จะได้ให้การรักษาได้อย่างเหมาะสมครับ
https://www.agnoshealth.com/forums/%E0%B9%84%E0%B8%82%E0%B9%89%E0%B8%AB%E0%B8%A7%E0%B8%B1%E0%B8%94/13,ผายลมทั้งวัน เกิดจากสาเหตุอะไรคะ แล้วผิดปกติรึป่าว,แปลว่ามีลมในทางเดินอาหารเยอะ สาเหตุได้หลายอย่างครับ แต่่ส่วนใหญ่มักไม่อันตราย สามารถทานยาขับลมซึ่งสามารถซื้อจากร้านยาทั่วไปได้ครับ
https://www.agnoshealth.com/forums/%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%9E%E0%B8%B2%E0%B8%B0%E0%B8%9B%E0%B8%B1%E0%B8%AA%E0%B8%AA%E0%B8%B2%E0%B8%A7%E0%B8%B0%E0%B8%AD%E0%B8%B1%E0%B8%81%E0%B9%80%E0%B8%AA%E0%B8%9A/1055,สวัสดีครับ ผมเหมือนจะเป็นกระเพาะปัสสาวะอักเสบน่ะครับ วันแรกที่เป็นฉี่บ่อยฉี่ไม่ค่อยออก ฉี่แล้วแสบตรงหัว ผมก็ไปถามเภสัชเขาก็ให้ยา ฆ่าเชื้อมา 2 ตัว ผมก็กินไปได้สองวัน แต่ผมลาป่วยแล้วลืมเอายากลับบ้าน เลยหยุดไป 3 วัน แล้วกลับมากินใหม่ กินต่อมา 2 วันแล้วครับ เหมือนอาการจะดีขึ้น แต่ก็ยังฉี่บ่อยเพราะผมกินน้ำเยอะตามที่หาอ่าน แต่วันนี้มันดันมีเหมือนอสุจิออกมานิดนึงอะครับ สรุปมันใกล้หายหรือยังอีกนานครับ,สวัสดีครับ จากอาการที่แจ้ง คือปัสสาวะบ่อย กะปริบกะปรอย ปัสสาวะแสบขัด เข้าได้กับโรคกระเพาะปัสสาวะอักเสบ หรือปัสสาวะติดเชื้อมากที่สุด การรักษาหลักจะเป็นการทานยาฆ่าเชื้อ 5 วัน ร่วมกับดื่มน้ำเยอะๆ และไม่กลั้นปัสสาวะครับ อย่างไรก็ตาม ภาวะนี้พบได้ไม่บ่อยในผู้ป่วยชายอายูน้อย โดยเฉพาะหากมีอาการมีมูกหรือหนองออกจากปลายอวัยวะเพศด้วย จะสงสัยภาวะท่อปัสสาวะอักเสบมากกว่า ซึ่งจะสัมพันธ์กับการติดเชื้อเพศสัมพันธ์ครับ และยาฆ่าเชื้อที่ใช้รักษาก็จะไม่เหมือนกัน โดยภาวะนี้จะรักษาด้วยยา Azithromycin ร่วมกับยา Doxycycline ครับ เบื้องต้นคนไข้อาจไปซื้อยาดังกล่าวที่ร้านขายยาที่มีเภสัชกรใกล้บ้านได้ แต่หากอาการไม่ดีขึ้น หมอแนะนำให้ไปตรวจปัสสาวะเพิ่มเติมที่โรงพยาบาลครับ
https://www.agnoshealth.com/forums/%E0%B8%A0%E0%B8%B2%E0%B8%A7%E0%B8%B0%E0%B8%8A%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%94%E0%B8%AD%E0%B8%B1%E0%B8%81%E0%B9%80%E0%B8%AA%E0%B8%9A%E0%B8%88%E0%B8%B2%E0%B8%81%E0%B9%80%E0%B8%8A%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%81%E0%B8%9A%E0%B8%84%E0%B8%97%E0%B8%B5%E0%B9%80%E0%B8%A3%E0%B8%B5%E0%B8%A2/831,ตกขาวปนเลือดหลังจากประจำเดือนหมด,จากประวัติคนไข้ อาการตกขาวผิดปกติร่วมกับอาการคัน และประวัติสวนล้างช่องคลอด มีโอกาสเกิดจากภาวะช่องคลอดอักเสบจากแบคทีเรียได้ การรักษาหลักจะเป็นการทานยาฆ่าเชื้อ เช่น Metronidazole นาน 7 วัน อาการจะค่อยๆดีขึ้น หากทานยาครบแล้วตกขาวยังผิดปกติ หมอแนะนำให้ไปตรวจเพิ่มเติมกับสูตินรีแพทย์ เพื่อหาสาเหตุต่อไปครับ
https://www.agnoshealth.com/forums/%E0%B9%80%E0%B8%99%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%AD%E0%B8%81%E0%B8%A1%E0%B8%94%E0%B8%A5%E0%B8%B9%E0%B8%81/929,ปวดหน่วงท้องน้อยมากเลยค่ะ ไปหาหมอบอกเป็นมดลูกโต หมอได้ให้กินยาคุม แต่ไม่ได้ให้ยาแก้ปวดท้อง พอทานยาคุมก็ไม่มีป.จ.ด ยาคุมเมอร์ซิลอน21เม็ด กินมาได้2แผงแล้วค่ะ แค่อาการปวดท้องน้อยก็ยังปวด เหมือนเดิม ถึงแม้ ไม่มีป.จ.ด ปวดหลัง ร้าวลงขา มีผลกระทบต่อการทำงาน ทำงานไม่ค่อยไหว พอทำนู่นทำนี่ก็จะปวดท้องทันที แต่ก่อนยังพอทนได้ ไม่ต้องพึ่งยาแก้ปวด แต่เดี๋ยวนี้ต้องซื้อยาไอบูเฟนกินทุกวันเพราะปวดหน่วงท้องน้อยมาก รู้ว่ากินมากไม่ดี แต่ถ้าไม้กินก็จะปวดมาก ไม่รู้จะทำอย่างไรแล้วค่ะ😭😭,ถ้าทานยาตามที่แพทย์เฉพาะทางแล้วยังไม่ดีขึ้น ทางที่ดีที่สุดควรกลับไปพบแพทย์ท่านเดิม เพื่อรักษาต่อเนื่องและปรึกษาแนวทางการรักษาเพิ่มเติมร่วมกันครับ แนวทางการรักษาหลายๆโรคมักจะเสตปการรักษาเพิ่มเติมเรื่อยๆ จนถึงการผ่าตัดในกรณีนี้ครับ
https://www.agnoshealth.com/forums/%E0%B8%A0%E0%B8%B2%E0%B8%A7%E0%B8%B0%E0%B9%81%E0%B8%97%E0%B9%89%E0%B8%87%E0%B8%84%E0%B8%B8%E0%B8%81%E0%B8%84%E0%B8%B2%E0%B8%A1/41,"ประจำเดือนเราขาดไป1เดือนพอเราซื้อที่ตรวจครรภ์มาตรวจ 
อันแรก ขึ้น 2 ขีดไม่จางมาก 
อันที่สอง ขึ้น 2 ขีดเข็มมากเราตรวจตอนเช้า พอตกเย็นเรามีอาการเจ็บที่ท้องน้อย และมีเลือดออกเป็นลิ่มเลือด ผ่านไป 3 วันเลือดยังออกอยู่ พอเราตรวจอันที่สาม ยังขึ้น 2 ขีดเข็ม ผ่านไปอีก 2 สัปดาห์ เราตรวจอีก 3 ครั้ง แต่ขึ้นแค่ขีดเดียว แบบนี้ท้องไหม หรือแท้งไปแล้วค่ะ แต่ยังมีอาการแพ้ท้องอยู่เลยค่ะ",แนะนำว่าควรไปเช็คที่่รพ. โดยตรงดีกว่าครับ การตรวจยืนยัการตั้งครรถ์นอกจากการตรวจปัสสาวะแล้วยังมีอาการตรวจด้วยการเจาะเลืือดเพือยืืนยันร่วมด้วยได้ ซึ่งค่อนข้างเนื่องจากจะรักษาไม่เหมือนกัน ระหว่างตั้งครรภ์กับไม่ตั้งครรภ์ครับ
https://www.agnoshealth.com/forums/%E0%B8%8B%E0%B8%B4%E0%B8%9F%E0%B8%B4%E0%B8%A5%E0%B8%B4%E0%B8%AA%20%E0%B8%A3%E0%B8%B0%E0%B8%A2%E0%B8%B0%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%AB%E0%B8%99%E0%B8%B6%E0%B9%88%E0%B8%87/22,มีวิธีการรักษาอย่างไร มีแก้ไข้้้เบื้องต้นไหม,การรักษาของโรคนี้จะเป็นการฉีดยาฆ่าเชื้อเป็นหลักเลยครับ ร่วมกับแนะนำให้ตรวจเลือดหาการติดเชื้อเพศสัมพันธ์ที่แอบแฝงอื่นๆด้วยครับ
https://www.agnoshealth.com/forums/%E0%B8%84%E0%B8%AD%E0%B8%AB%E0%B8%AD%E0%B8%A2%E0%B8%AD%E0%B8%B1%E0%B8%81%E0%B9%80%E0%B8%AA%E0%B8%9A/351,"เจ็บโคนลิ้นข้างซ้าย และบริเวณข้างลิ้น 
ลองเอาไฟส่องดูบริเวณข้างโคนลิ้นมีปื้นขาวๆและรอยช้ำแดงๆรอบๆ พูดแล้วเจ็บ กลืนน้ำลายแล้วเจ็บ แต่ไม่ใช่เจ็บคอเจ็บที่โคนลิ้นและข้างลิ้น",อาการของคนไข้อาจเกิดจากแผลร้อนในที่ลิ้นได้ครับ เบื้องต้นหมอแนะนำให้ใช้ยาทาลดการอักเสบ เช่น 0.1% TA oral paste ป้ายบริเวณแผล เช้า-กลางวัน-เย็น อาการจะค่อยๆดีขึ้นใน 2-3 วันครับ ถ้าอาการไม่ดีขึ้น หรือมีแผลเจ็บที่เดิมเกิดขึ้นซ้ำๆ หมอแนะนำให้ไปตรวจเพิ่มเติมที่คลินิกทันตกรรม หรือโรงพยาบาลต่อไปครับ
https://www.agnoshealth.com/forums/%E0%B9%80%E0%B8%99%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%AD%E0%B8%81%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B8%94%E0%B8%B9%E0%B8%81%E0%B8%AA%E0%B8%B1%E0%B8%99%E0%B8%AB%E0%B8%A5%E0%B8%B1%E0%B8%87/270,ผมปวดบริเวณกระดูกสันหลังมา 3 ปีแล้ว หาสาเหตุไม่ได้ ผมควรทำยังไงต่อดี,อาการปวดหลังในคนอายุน้อย ส่วนใหญ่เกิดจากกล้ามเนื้ออักเสบครับ แต่ในกรณีคนไข้ มีอาการเบื่ออาหาร เหงื่อออกกลางคืน มีขาอ่อนแรง และปวดช่วงกลางคืนด้วย เป็นสัญญานอันตรายมีบ่งบอกว่าอาจมีความผิดปกติของกระดูกสันหลัง เช่น วัณโรคกระดูก หรือเนื้องอกกระดูกสันหลัง หมอแนะนำให้ไปปรึกษาแพทย์ศัลยกรรมกระดูกเพิ่มเติม เพื่อทำการตรวจร่างกายและเอกซเรย์กระดูกสันหลังต่อไปครับ
